text,label,sentiment,processed_text
)setup couldn't have been simpler.,1,positive,setup couldnt simpler
i've tried several different earpieces for my cell phone and this jabra one is the first one i've found that fits my ear comfortably.,1,positive,ive tried several different earpiece cell phone jabra one first one ive found fit ear comfortably
could not get strong enough signal.,0,negative,could get strong enough signal
iam very pleased with my purchase.,1,positive,iam pleased purchase
bad quality.,0,negative,bad quality
gets the job done.,1,positive,get job done
great audio!.,1,positive,great audio
basically the service was very bad.,0,negative,basically service bad
it did not work in my cell phone plug i am very up set with the charger!.,0,negative,work cell phone plug set charger
"i've only had my bluetooth for a few weeks, but i really like it.",1,positive,ive bluetooth week really like
the bt headset was such a disapoinment.,0,negative,bt headset disapoinment
it is so small and you don't even realize that it is there after a while of getting used to it.,1,positive,small dont even realize getting used
the accompanied software is almost brilliant.,1,positive,accompanied software almost brilliant
headset works great & was packaged nicely to avoid any damage.,1,positive,headset work great packaged nicely avoid damage
!i definitly recommend!!,1,positive,definitly recommend
buyer--be very careful!!!!!.,0,negative,buyerbe careful
the majority of the logitech earbud headsets failed.,0,negative,majority logitech earbud headset failed
very good stuff for the price.,1,positive,good stuff price
my headset works just peachy-keen.,1,positive,headset work peachykeen
in my house i was getting dropped coverage upstairs and no coverage in my basement.,0,negative,house getting dropped coverage upstairs coverage basement
voice recognition is tremendous!,1,positive,voice recognition tremendous
what a waste.,0,negative,waste
"during several different 2 minute calls, i experienced 5 drops and it was in an area that had 5 bars.",0,negative,several different minute call experienced drop area bar
i was not happy with this item.,0,negative,happy item
very disappointed.,0,negative,disappointed
the phone takes forever to charge like 2 to 5 hours literally.,0,negative,phone take forever charge like hour literally
i got this phone on reccomendation from a relative and i'm glad i did.,1,positive,got phone reccomendation relative im glad
what a waste of time!,0,negative,waste time
its reception is very very poor.,0,negative,reception poor
items stated as included from the description are not included.,0,negative,item stated included description included
"after 3 months, screen just went black all of a sudden.",0,negative,month screen went black sudden
i was hoping for more.,0,negative,hoping
"audio quality is poor, very poor.",0,negative,audio quality poor poor
i had absolutely no problem with this headset linking to my 8530 blackberry curve!,1,positive,absolutely problem headset linking blackberry curve
"i know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.well, this one works great.",1,positive,know sound funny seemed like sketchy technology wouldnt work wellwell one work great
i've bought $5 wired headphones that sound better than these.,0,negative,ive bought wired headphone sound better
this phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,positive,phone fast sending kind message web browsing significantly faster previous phone used
"nice quality build, unlike some cheap s*** out there.",1,positive,nice quality build unlike cheap
this item is fantastic and works perfectly!,1,positive,item fantastic work perfectly
and i just love the colors!,1,positive,love color
w810i is just superb.,1,positive,wi superb
"all i can do is whine on the internet, so here it goes.the more i use the thing the less i like it.",0,negative,whine internet goesthe use thing less like
great charger.,1,positive,great charger
this is essentially a communications tool that does not communicate.,0,negative,essentially communication tool communicate
works like a charm; it work the same as the one i got with the phone.,1,positive,work like charm work one got phone
"i still maintain that monkeys shouldn't make headphones, we just obviously don't share enough dna to copy the design over to humans.",0,negative,still maintain monkey shouldnt make headphone obviously dont share enough dna copy design human
great value.,1,positive,great value
doesn't work at all.. i bougth it for my l7c and its not working.,0,negative,doesnt work bougth lc working
"the look of it is very sharp and the screen is nice and clear, with great graphics.",1,positive,look sharp screen nice clear great graphic
doesn't last long.,0,negative,doesnt last long
one thing i hate is the mode set button at the side.,0,negative,one thing hate mode set button side
excellent service!!!!!!!!.,1,positive,excellent service
thank you for wasting my money.,0,negative,thank wasting money
how can that be?the audio quality is poor.,0,negative,bethe audio quality poor
the igo chargers and tips are really great.,1,positive,igo charger tip really great
the file browser offers all the options that one needs.handsfree is great.,1,positive,file browser offer option one needshandsfree great
superb phone on a great network.,1,positive,superb phone great network
"i connected my wife's bluetooth,(motorola hs850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,positive,connected wife bluetoothmotorola h phone worked like charm whether phone pocket case
"i put the latest os on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,negative,put latest o vg like slow crawl lock every
it only recognizes the phone as its storage device.,0,negative,recognizes phone storage device
"if you like a loud buzzing to override all your conversations, then this phone is for you!",0,negative,like loud buzzing override conversation phone
don't buy this product.,0,negative,dont buy product
i've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,negative,ive bluetoooth headset time still comfortable way fit ear
the sound quality is good and functionality is awesome.,1,positive,sound quality good functionality awesome
"i have this phone and it is a thorn in my side, i really abhor it.",0,negative,phone thorn side really abhor
i recently had problems where i could not stay connected for more than 10 minutes before being disconnected.,0,negative,recently problem could stay connected minute disconnected
incredible!.,1,positive,incredible
design flaw?.,0,negative,design flaw
great phone!.,1,positive,great phone
waste of 13 bucks.,0,negative,waste buck
"but when i check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then i'm lost.",0,negative,check voice mail night keypad backlight turn second first message im lost
the replacement died in a few weeks.,0,negative,replacement died week
any ring tone..overall good phone to buy..,1,positive,ring toneoverall good phone buy
lately they have been extremely nice and helpful on the phone.,1,positive,lately extremely nice helpful phone
i have had problems wit hit dropping signal and more.,0,negative,problem wit hit dropping signal
not impressed.,0,negative,impressed
"light weight, i hardly notice it is there.",1,positive,light weight hardly notice
you'll love how thin it is.,1,positive,youll love thin
bad choice.,0,negative,bad choice
the pleather case doesn't fit.,0,negative,pleather case doesnt fit
"useless phone, simply deaf.",0,negative,useless phone simply deaf
"the color is even prettier than i thought it would be, and the graphics are incredibly sharp.",1,positive,color even prettier thought would graphic incredibly sharp
all in all i think it was a good investment.,1,positive,think good investment
it makes very strange ticking noises before it ends the call.,0,negative,make strange ticking noise end call
the best electronics of the available fm transmitters.,1,positive,best electronics available fm transmitter
battery lasts only a few hours.,0,negative,battery last hour
"great headset, very impressed - h500.",1,positive,great headset impressed h
"the ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,positive,mega pixel camera part phone reasonably good
i've had this for nearly 2 years and it has worked great for me.,1,positive,ive nearly year worked great
good transmit audio.,1,positive,good transmit audio
we are sending it back.,0,negative,sending back
i did not bother contacting the company for few dollar product but i learned the lesson that i should not have bought this form online anyway.,0,negative,bother contacting company dollar product learned lesson bought form online anyway
"if you hate earbugs, avoid this phone by all means.",0,negative,hate earbugs avoid phone mean
great price also!,1,positive,great price also
"the range is very decent, i've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,positive,range decent ive able roam around house phone living room receptionsound quality issue
fast service.,1,positive,fast service
i would highly recommend this.,1,positive,would highly recommend
i would recommend this.,1,positive,would recommend
"i also didn't like the ""on"" button, it felt like it would crack with use.",0,negative,also didnt like button felt like would crack use
worst phone ever.,0,negative,worst phone ever
i'm still infatuated with this phone.,1,positive,im still infatuated phone
freezes frequently4.,0,negative,freeze frequently
it's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0,negative,kind embarrassing use look mostly embarrassing childlike company
"simple, lightweight and great fit.",1,positive,simple lightweight great fit
"all in all, i'd expected a better consumer experience from motorola.",0,negative,id expected better consumer experience motorola
there's a horrible tick sound in the background on all my calls that i have never experienced before.,0,negative,there horrible tick sound background call never experienced
these are certainly very comfortable and functionality is decent.,1,positive,certainly comfortable functionality decent
i usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,positive,usually dont like headband one lightweight doesnt mess hair
i'm a bit disappointed.,0,negative,im bit disappointed
"i have had this phone for over a year now, and i will tell you, its not that great.",0,negative,phone year tell great
i ordered this for sony ericsson w810i but i think it only worked once (thats when i first used it).,0,negative,ordered sony ericsson wi think worked thats first used
the battery is completely useless to me.,0,negative,battery completely useless
what a big waste of time.,0,negative,big waste time
don't waste your $$$ on this one.,0,negative,dont waste one
great sound and service.,1,positive,great sound service
really pleased with this product so far.,1,positive,really pleased product far
one of my favorite purchases ever.,1,positive,one favorite purchase ever
best bluetooth on the market.,1,positive,best bluetooth market
authentic leather with nice shine and comfort .i recommend you this case !!,1,positive,authentic leather nice shine comfort recommend case
i was very excited to get this headset because i thought it was really cute.,1,positive,excited get headset thought really cute
do not make the same mistake as me.,0,negative,make mistake
big disappointment with calendar sync.,0,negative,big disappointment calendar sync
the phone was unusable and was not new.,0,negative,phone unusable new
worst customer service ever.,0,negative,worst customer service ever
"no additional ear gels provided, and no instructions whatsoever.",0,negative,additional ear gel provided instruction whatsoever
it defeats the purpose of a bluetooth headset.,0,negative,defeat purpose bluetooth headset
worth every penny.,1,positive,worth every penny
excellent wallet type phone case.,1,positive,excellent wallet type phone case
nice headphones for the price and they work great!,1,positive,nice headphone price work great
internet is excrutiatingly slow.,0,negative,internet excrutiatingly slow
"it is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,positive,comfortable wear well probably important aspect using case
"it's fits like a glove and is strong, secure, and durable.",1,positive,fit like glove strong secure durable
o my gosh the best phone i have ever had.,1,positive,gosh best phone ever
it's very attractive and appears to be of good quality.,1,positive,attractive appears good quality
i love all the features and form factor.,1,positive,love feature form factor
this product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0,negative,product strong rubberpetroleum smell unbearable caused return
poor quality and service.,0,negative,poor quality service
"the cable looks so thin and flimsy, it is scary.",0,negative,cable look thin flimsy scary
great earpiece.,1,positive,great earpiece
excellent hands free tool.,1,positive,excellent hand free tool
great for using with your home stereo.,1,positive,great using home stereo
good product - incredible value.,1,positive,good product incredible value
only had this a month but it's worked flawlessly so far.,1,positive,month worked flawlessly far
works great.,1,positive,work great
absolutel junk.,0,negative,absolutel junk
that one didn't work either.,0,negative,one didnt work either
battery life is real good.,1,positive,battery life real good
returned 8 hours later.,0,negative,returned hour later
it's a great item.,1,positive,great item
don't waste your money!.,0,negative,dont waste money
love this headset!,1,positive,love headset
"not only will it drain your player, but may also potentially fry it.",0,negative,drain player may also potentially fry
worked perfectly!,1,positive,worked perfectly
unreliable - i'm giving up.,0,negative,unreliable im giving
i gave it 5 stars because of the sound quality.,1,positive,gave star sound quality
avoid this one if you can.,0,negative,avoid one
reversible plug works great.,1,positive,reversible plug work great
i wasted my little money with this earpiece.,0,negative,wasted little money earpiece
very good phone.,1,positive,good phone
"best of all is the rotating feature, very helpful.",1,positive,best rotating feature helpful
comfort for our whole family.,1,positive,comfort whole family
"good product, good seller.",1,positive,good product good seller
i love this bluetooth!,1,positive,love bluetooth
"first of all, it doesn't wear well.",0,negative,first doesnt wear well
i am very impressed with this headset from plantronics.,1,positive,impressed headset plantronics
i got it because it was so small and adorable.,1,positive,got small adorable
i wouldn't recommend buying this product.,0,negative,wouldnt recommend buying product
piece of junk.,0,negative,piece junk
poorly contstruct hinge.,0,negative,poorly contstruct hinge
"this item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,positive,item great installed let charged overnite working good every since problem
great phone.,1,positive,great phone
don't buy it.,0,negative,dont buy
excellent phone.,1,positive,excellent phone
do not purchase this phone.,0,negative,purchase phone
the voice recognition thru the handset is excellent.,1,positive,voice recognition thru handset excellent
this is hands down the best phone i've ever had.,1,positive,hand best phone ive ever
"works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,positive,work great cat attacked phone scratched protective strip instead destroying screen
this one works and was priced right.,1,positive,one work priced right
customer service was terrible.,0,negative,customer service terrible
battery life still not long enough in motorola razor v3i.,0,negative,battery life still long enough motorola razor vi
sending it back.,0,negative,sending back
now i know that i made a wise decision.,1,positive,know made wise decision
someone shouldve invented this sooner.,1,positive,someone shouldve invented sooner
good price.,1,positive,good price
everything worked on the first try.the device was certainly engineered in a clever way and the construction feels good.,1,positive,everything worked first trythe device certainly engineered clever way construction feel good
i received it quickly and it works great!!,1,positive,received quickly work great
has been working great.,1,positive,working great
"as many people complained, i found this headset's microphone was very weak.",0,negative,many people complained found headset microphone weak
my 5-year old nokia 2160 from tracfone holds the charge a lot better than this.,0,negative,year old nokia tracfone hold charge lot better
they do not care about the consumer one bit.,0,negative,care consumer one bit
"this is a good battery, and it got here really fast.",1,positive,good battery got really fast
the instruction manual is lacking.,0,negative,instruction manual lacking
also its slim enough to fit into my alarm clock docking station without removing the case.,1,positive,also slim enough fit alarm clock docking station without removing case
phone now holds charge like it did when it was new.,1,positive,phone hold charge like new
the battery is unreliable as well as the service use antena.,0,negative,battery unreliable well service use antena
it's uncomfortable and the sound quality is quite poor compared with the phone (razr) or with my previous wired headset (that plugged into an lg).,0,negative,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg
we have gotten a lot of compliments on it.,1,positive,gotten lot compliment
this is definitely a must have if your state does not allow cell phone usage while driving.,1,positive,definitely must state allow cell phone usage driving
i want my money back.,0,negative,want money back
i love this device.,1,positive,love device
i am also very happy with the price.,1,positive,also happy price
i ordered this product first and was unhappy with it immediately.,0,negative,ordered product first unhappy immediately
the ngage is still lacking in earbuds.,0,negative,ngage still lacking earbuds
i was able to do voice dialing in the car with no problem.,1,positive,able voice dialing car problem
"i have 2-3 bars on my cell phone when i am home, but you cant not hear anything.",0,negative,bar cell phone home cant hear anything
"good item, low price.",1,positive,good item low price
"however-the riingtones are not the best, and neither are the games.",0,negative,howeverthe riingtones best neither game
the plug did not work very well.,0,negative,plug work well
amazon sucks.,0,negative,amazon suck
rip off---- over charge shipping.,0,negative,rip charge shipping
very comfortable.,1,positive,comfortable
the battery is working well as a replacement for the original that came with the phone over 2 years ago.,1,positive,battery working well replacement original came phone year ago
the reception is excellent!,1,positive,reception excellent
"it fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1,positive,fit comfortably either ear sound clear loud charge last couple day
"very clear, quality sound and you don't have to mess with the sound on your ipod since you have the sound buttons on the headset.",1,positive,clear quality sound dont mess sound ipod since sound button headset
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0,negative,long lasting battery dont recharge frequentyly flip phone
obviously there is a problem with the adhesive.,0,negative,obviously problem adhesive
very disappointing.,0,negative,disappointing
"it was an inexpensive piece, but i would still have expected better quality.",0,negative,inexpensive piece would still expected better quality
it is practically useless and did not add any kind of boost to my reception after i bought it.,0,negative,practically useless add kind boost reception bought
excellent sound quality.,1,positive,excellent sound quality
was not happy.,0,negative,happy
a piece of junk that broke after being on my phone for 2 days!!!,0,negative,piece junk broke phone day
new battery works great in phone.,1,positive,new battery work great phone
worst customer service.,0,negative,worst customer service
"i've dropped my phone more times than i can say, even on concrete and my phone is still great (knock on wood!).",1,positive,ive dropped phone time say even concrete phone still great knock wood
reception is terrible and full of static.,0,negative,reception terrible full static
good audio quality.,1,positive,good audio quality
this little device has transformed my organizational capability and made my life a whole lot easier.,1,positive,little device transformed organizational capability made life whole lot easier
"i was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0,negative,sitting vehicle cradle belt headset lost signal
were jerks on the phone.,0,negative,jerk phone
works like a charm.. works as advertised.,1,positive,work like charm work advertised
"comfortable, nice range, good battery life.",1,positive,comfortable nice range good battery life
their network coverage in los angeles is horrible.,0,negative,network coverage los angeles horrible
excellent starter wireless headset.,0,negative,excellent starter wireless headset
"the loudspeaker option is great, the bumpers with the lights is very ... appealing.",0,negative,loudspeaker option great bumper light appealing
the only thing that i think could improve is the sound leaks out from the headset.,0,negative,thing think could improve sound leak headset
"first off the reception sucks, i have never had more than 2 bars, ever.",0,negative,first reception suck never bar ever
the phone gets extremely hot!,0,negative,phone get extremely hot
"the microphone also works well, but (according to people i have called) it applifies everything.",1,positive,microphone also work well according people called applifies everything
nice design and quality.,1,positive,nice design quality
"also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0,negative,also phone dropped case going save specially dropped face
"it is light, easy to use, and has very clear reception and transmission.",1,positive,light easy use clear reception transmission
"bad fit, way too big.",0,negative,bad fit way big
it definitely was not as good as my s11.,1,positive,definitely good
awesome device.,1,positive,awesome device
waste of money.,0,negative,waste money
"i had ordered a motorola data cable, got a very well finished and working product.",1,positive,ordered motorola data cable got well finished working product
love this phone.,1,positive,love phone
i was looking for this headset for a long time and now that i've got it i couldn't be happier.,1,positive,looking headset long time ive got couldnt happier
"i'll be drivng along, and my headset starts ringing for no reason.",0,negative,ill drivng along headset start ringing reason
display is excellent and camera is as good as any from that year.,1,positive,display excellent camera good year
battery life is also great!,1,positive,battery life also great
the worst phone i've ever had.... only had it for a few months.,0,negative,worst phone ive ever month
not a good item.. it worked for a while then started having problems in my auto reverse tape player.,0,negative,good item worked started problem auto reverse tape player
this is so embarassing and also my ears hurt if i try to push the ear plug into my ear.,0,negative,embarassing also ear hurt try push ear plug ear
protects the phone on all sides.,1,positive,protects phone side
this is a very average phone with bad battery life that operates on a weak network.,0,negative,average phone bad battery life operates weak network
"clear skype calls, long battery life, long range.",1,positive,clear skype call long battery life long range
soyo technology sucks.,0,negative,soyo technology suck
great hands free device.,1,positive,great hand free device
"you can even take self portraits with the outside (exterior) display, very cool.",1,positive,even take self portrait outside exterior display cool
same problem as others have mentioned.,0,negative,problem others mentioned
after trying many many handsfree gadgets this is the one that finally works well.,1,positive,trying many many handsfree gadget one finally work well
magical help.,1,positive,magical help
the worst piece of crap ever along with the verizon customer service.,0,negative,worst piece crap ever along verizon customer service
poor sound quality.,0,negative,poor sound quality
the best phone in market :).,1,positive,best phone market
it worked very well.,1,positive,worked well
the company shipped my product very promptly and it works well.,1,positive,company shipped product promptly work well
exactly what i wanted.,1,positive,exactly wanted
the picture resolution is far below what other comparably-priced phones are offering today.,0,negative,picture resolution far comparablypriced phone offering today
this is a great deal.,1,positive,great deal
"excellent product, i am very satisfied with the purchase.",1,positive,excellent product satisfied purchase
i highly recommend these and encourage people to give them a try.,1,positive,highly recommend encourage people give try
better than you'd expect.,1,positive,better youd expect
"using all earpieces, left or right, this thing will not stay on my ear.",0,negative,using earpiece left right thing stay ear
great product and price.,1,positive,great product price
"sounds good reasonably priced and effective, its that simple !",1,positive,sound good reasonably priced effective simple
still waiting...... i'm sure this item would work well.. if i ever recieve it!,0,negative,still waiting im sure item would work well ever recieve
what a disappointment,0,negative,disappointment
very prompt service.,1,positive,prompt service
excellent product for the price.,1,positive,excellent product price
very pleased with this headset.,1,positive,pleased headset
don't waste your money and time.,0,negative,dont waste money time
i especially love the long battery life.,1,positive,especially love long battery life
"it's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0,negative,stupid keep buying new charger car charger cradle headphone car kit every time new phone come
plantronics bluetooth excelent buy.,1,positive,plantronics bluetooth excelent buy
i came over from verizon because cingulair has nicer cell phones.... the first thing i noticed was the really bad service.,0,negative,came verizon cingulair nicer cell phone first thing noticed really bad service
i'll be looking for a new earpiece.,0,negative,ill looking new earpiece
i highly recommend this device to everyone!,1,positive,highly recommend device everyone
jawbone era is awesome too!,1,positive,jawbone era awesome
we received a white colored battery that goes dead after a couple hoursthe original used to last a week - but still lasts longer than thereplacement,0,negative,received white colored battery go dead couple hoursthe original used last week still last longer thereplacement
after a year the battery went completely dead on my headset.,0,negative,year battery went completely dead headset
"i have used several phone in two years, but this one is the best.",1,positive,used several phone two year one best
an awesome new look for fall 2000!.,1,positive,awesome new look fall
this is the first phone i've had that has been so cheaply made.,0,negative,first phone ive cheaply made
"att is not clear, sound is very distorted and you have to yell when you talk.",0,negative,att clear sound distorted yell talk
the plastic breaks really easy on this clip.,0,negative,plastic break really easy clip
price is good too.,1,positive,price good
